time,theta1,theta2,theta3,theta4,theta5
10.5671,104.3108,71.7280,106.3979,216.8757,178.9108
10.6243,104.2698,70.1736,108.2072,219.3218,181.1662
10.6986,104.3374,68.7845,109.8230,221.2093,183.2916
10.7644,104.3948,67.6037,111.1965,222.8138,185.0981
10.8269,104.0676,67.5958,112.9623,224.0504,185.6898
10.9005,104.2437,67.8067,114.6499,225.0667,186.1096
10.9626,104.4705,68.0285,116.0496,226.0074,186.8183
11.0342,104.2231,67.6437,117.0007,226.4462,187.0259
11.0952,103.9724,67.1987,117.6438,226.7209,187.2116
11.1678,103.9336,66.9457,118.2265,227.1921,187.2344
11.2280,104.0825,67.3284,119.2415,227.7769,187.9215
11.2997,104.1095,67.5780,119.9525,228.2451,188.6964
11.3626,103.8836,67.6899,120.3074,228.7866,189.1357
11.4342,103.5364,67.8592,120.5371,229.0873,189.5045
11.5013,103.5142,68.4149,120.7682,229.3950,189.9044
11.5573,103.4303,68.6795,121.0830,229.5363,190.5928
11.6323,103.2199,68.6284,121.0985,229.9275,190.9669
11.6927,103.0465,68.4126,121.1463,230.1344,191.1493
11.7660,102.9100,68.1782,121.1268,229.9609,191.0782
11.8347,102.4935,68.4983,121.0121,230.0508,191.0137
11.9004,102.4987,68.9520,120.8125,230.1169,191.1645
11.9617,102.4745,69.4477,120.4943,230.2335,191.2542
12.0337,102.6140,70.1356,119.7122,230.2067,192.4137
12.0978,102.8730,70.8599,118.8737,230.1681,193.5014
12.1669,103.2307,71.7490,118.1406,230.2725,194.4335
12.2323,103.1413,72.9513,117.0685,231.3737,195.7448
12.3082,102.9833,73.9705,115.8763,232.2416,197.0723
12.3835,102.9833,74.5640,114.7565,233.0151,200.0249
12.4512,103.3427,76.4342,112.4798,236.7663,207.8791
12.5123,103.1811,77.8821,110.6729,240.8939,215.5057
12.5852,103.7395,78.8993,108.8181,248.8642,223.1541
12.6482,103.7395,79.3692,106.8486,256.4144,229.8850
12.7255,103.7395,79.3158,105.0684,263.2415,235.8471
12.7969,103.7395,80.3050,102.6789,269.3511,238.8959
12.8743,103.7395,81.1846,100.6136,274.3542,241.3004
12.9515,103.7395,81.8227,98.6033,278.4249,243.1393
13.0230,103.7395,81.9808,96.4299,280.8150,242.6940
13.1006,103.7395,82.9296,94.5697,282.7993,241.9708
13.1674,103.7395,84.1204,93.1355,284.4343,239.7385
13.2368,103.7395,85.0896,91.8430,285.4899,237.6062
13.3032,103.7395,85.6088,92.7872,282.9484,242.6271
13.3646,103.7395,85.6088,93.3581,279.5761,246.7541
13.4351,103.7395,85.6088,93.7829,276.1650,249.7974
13.4964,103.7395,85.6088,94.0325,273.3450,251.7700
13.5697,103.7395,85.6088,93.8429,270.1433,254.2610
13.6307,103.7395,85.6088,93.6241,267.2965,256.3868
13.7094,103.7395,85.6088,93.5655,264.7705,258.2814
13.7859,103.7395,85.6088,93.2675,263.0762,259.4369
13.8562,103.7395,85.6088,93.0723,261.6480,260.2181
13.9231,103.7395,85.6088,93.0096,260.2377,261.4494
13.9866,103.7395,85.6088,93.3274,258.9554,262.8350
14.0557,103.7395,85.6088,93.3109,257.8552,263.4508
14.1208,103.7395,85.6088,93.3109,257.2569,265.4758
14.1871,103.7395,85.6088,93.6551,256.3599,268.0212
14.2559,103.7395,85.6088,93.8945,255.7198,272.6517
14.3249,103.7395,85.6088,94.5722,254.8629,276.9566
14.3877,103.7395,85.6088,95.2828,254.5790,280.2805
14.4586,103.7395,85.6088,95.8867,254.3377,283.1059
14.5194,103.7395,85.6088,96.4925,254.1637,287.7375
14.5849,103.7395,85.6088,97.3991,253.9067,291.8544
14.6552,103.7395,85.6088,98.2761,253.5619,295.1875
14.7210,103.7395,85.6088,98.4934,253.1252,296.4607
14.7856,103.7395,85.6088,98.4934,252.8812,297.7435
14.8525,103.7395,85.6088,98.7255,252.6403,298.5416
14.9189,103.7395,85.6088,99.0085,252.5176,298.3062
14.9949,103.7395,85.6088,99.0085,252.5299,299.2013
