time,theta1,theta2,theta3,theta4,theta5
12.6316,78.3363,86.5255,86.3917,42.1155,59.5932
12.6650,78.4362,86.4145,86.7084,44.5783,60.6114
12.6983,78.0510,86.7573,86.6601,43.8378,60.7596
12.7316,77.5693,87.1710,86.8948,43.9606,61.0204
12.7649,77.1684,87.5668,87.1529,43.4674,61.2489
12.7983,77.3750,87.3527,87.5172,36.4531,61.5151
12.8316,77.3742,87.1742,87.8352,29.7244,61.6655
12.8649,77.2407,86.9547,88.0645,23.1892,62.4984
12.8983,77.1900,86.7009,88.2312,22.3308,63.4287
12.9316,77.1580,86.5966,88.4298,17.2805,62.0515
12.9649,77.0969,86.4958,88.5495,13.8675,61.4178
12.9982,77.1124,86.4679,88.6379,8.0595,60.4096
13.0316,77.1857,86.4532,88.8044,4.8499,59.4693
13.0649,77.2500,86.3621,88.9459,1.6319,58.3182
13.0982,77.3720,86.3396,89.0453,0.3839,57.6554
13.1316,77.4087,86.4377,89.1610,357.0395,56.4236
13.1649,77.4693,86.5386,89.3114,354.2682,55.1727
13.1982,77.5086,86.6271,89.4927,348.5948,52.0795
13.2315,77.5021,86.7006,89.6896,344.6416,50.5902
13.2649,77.6511,86.8325,89.9243,340.3217,48.8008
13.2982,77.8138,87.0121,90.2672,334.7670,44.8448
13.3315,77.7682,87.5302,90.4838,332.2205,40.6458
13.3649,77.8262,88.0321,90.7299,332.2524,38.9692
13.3982,77.7481,88.4455,90.8537,334.0637,38.5767
13.4315,77.7771,88.6232,90.6938,343.7744,38.8193
13.4648,77.5441,88.8301,90.5721,351.7827,39.3312
13.4982,77.3330,88.9004,90.4940,357.7075,41.0913
13.5315,77.2973,89.0570,90.5172,1.1531,41.8687
13.5648,77.0526,89.0968,90.4360,2.8813,42.3340
13.5982,77.3361,89.0137,90.6809,1.7255,41.0760
13.6315,77.8880,89.0608,91.1122,359.1590,38.1854
13.6648,78.3596,89.2030,91.4687,356.1744,35.5948
13.6981,78.9124,89.3753,92.1074,349.7705,31.0437
13.7315,79.2770,89.6342,92.6858,342.5342,25.9417
13.7648,80.0648,89.7152,93.3686,334.9452,18.8586
13.7981,80.1123,89.8190,93.8163,327.4066,9.6802
13.8315,80.3563,89.8890,94.1011,320.5711,359.5082
13.8648,80.7073,89.8828,94.3961,314.3072,349.8950
13.8981,81.0654,89.6219,94.6948,308.7111,339.7448
13.9314,81.2274,89.4468,94.9891,303.5653,330.5063
13.9648,81.4612,89.3142,95.2570,298.4431,322.2070
13.9981,81.8108,89.1504,95.6836,293.8180,315.0649
14.0314,82.1555,89.0176,96.0590,289.3715,308.9964
14.0648,82.5390,88.9391,96.3445,285.3451,303.7323
14.0981,82.9045,88.7969,96.6410,281.8384,299.1313
14.1314,83.2192,88.6749,96.8921,278.8211,295.1349
14.1647,83.5247,88.5699,97.1080,276.3189,291.6258
14.1981,83.8117,88.4603,97.2896,274.2976,288.4951
14.2314,84.0770,88.4104,97.4707,272.8408,286.0988
14.2647,84.2684,88.3576,97.6563,271.6247,284.3044
14.2981,84.4452,88.2913,97.8626,270.7051,283.1320
14.3314,84.5652,88.2449,98.0888,270.0549,282.3075
14.3647,84.6132,88.2282,98.2872,269.6275,281.8239
14.3981,84.6750,88.2407,98.4760,269.4455,281.4453
14.4314,84.6981,88.2538,98.6792,269.4218,281.3092
14.4647,84.6999,88.3508,98.5308,268.5369,281.2260
14.4980,84.6850,88.5035,98.3715,268.0042,281.1052
14.5314,84.6346,88.6162,98.2626,267.4967,281.0679
14.5647,84.6801,88.7085,98.1478,267.1210,281.1026
14.5980,84.6457,88.7522,98.0663,266.8501,281.1627
14.6314,84.5519,88.7758,98.0138,266.7691,281.2677
14.6647,84.4209,88.8566,97.9733,266.7933,281.5616
14.6980,84.2880,88.9073,97.9471,267.2113,282.0868
14.7313,84.2068,89.0625,98.0265,268.3187,282.8869
14.7647,84.1151,89.1549,98.0657,269.6087,284.0732
14.7980,83.4199,89.4432,97.8845,270.9820,285.5974
14.8313,82.6509,89.8256,97.6503,272.5402,287.9525
14.8647,82.8252,89.8480,97.7285,275.0738,291.9448
14.8980,83.2088,89.8651,97.7979,277.9750,297.6801
14.9313,83.1966,89.8252,97.6959,281.3240,304.4380
14.9646,83.2245,89.7338,97.6271,285.6266,311.9922
14.9980,83.4190,89.5163,97.5372,291.2712,319.7521
15.0313,83.6172,89.3245,97.3461,297.6470,327.7054
15.0646,83.3183,89.2789,96.9487,304.4817,335.7096
15.0980,82.8616,89.1563,96.3449,312.2779,343.6554
15.1313,82.2001,89.2856,95.6226,320.2453,351.7963
15.1646,81.5155,89.3161,94.9714,328.3576,359.7817
15.1979,80.7548,89.3578,94.2237,336.6407,8.5304
15.2313,80.0917,89.3553,93.5290,344.4982,16.2022
15.2646,79.7255,89.6577,92.6694,352.0905,21.0949
15.2979,79.4734,89.8428,91.8356,359.3209,24.6264
15.3313,78.7569,89.5226,91.2745,6.5157,28.6226
15.3646,78.0720,89.8400,90.8629,12.1509,30.0333
15.3979,77.5123,90.1800,90.3997,17.3019,30.5845
15.4312,76.9769,90.4941,89.9823,21.6783,31.3820
